"b'Country,Other'",b'TotalCases',b'NewCases',b'TotalDeaths',b'NewDeaths',b'TotalRecovered',b'ActiveCases',"b'Serious,Critical'",b'Tot\xc2\xa0Cases/1M pop',b'Deaths/1M pop',b'TotalTests',b'Tests/\n1M pop\n',b'Continent'
b'Europe',"b'1,480,488'","b'+10,577'","b'142,273'",b'+130',"b'559,725'","b'778,490'","b'16,957'",b'',b'',b'',b'',b'Europe'
b'Asia',"b'574,305'","b'+1,466'","b'20,097'",b'+19',"b'305,482'","b'248,726'","b'5,290'",b'',b'',b'',b'',b'Asia'
b'South America',"b'224,738'",b'+464',"b'11,298'",b'+30',"b'78,397'","b'135,043'","b'9,938'",b'',b'',b'',b'',b'South America'
b'Africa',"b'48,081'",b'+6',"b'1,848'",b'',"b'16,231'","b'30,002'",b'129',b'',b'',b'',b'',b'Africa'
b'Oceania',"b'8,435'",b'+21',b'116',b'+1',"b'7,280'","b'1,039'",b'30',b'',b'',b'',b'',b'Australia/Oceania'
b'',b'721',b'',b'15',b'',b'645',b'61',b'4',b'',b'',b'',b'',b''
b'World',"b'3,657,733'","b'+14,462'","b'252,548'",b'+307',"b'1,202,735'","b'2,202,450'","b'49,645'",b'469',b'32.4',b'',b'',b'All'
b'USA',"b'1,212,955'",b'+120',"b'69,925'",b'+4',"b'188,068'","b'954,962'","b'16,050'","b'3,664'",b'211',"b'7,462,597'","b'22,545'",b'North America'
b'Spain',"b'248,301'",b'',"b'25,428'",b'',"b'151,633'","b'71,240'","b'2,254'","b'5,311'",b'544',"b'1,932,455'","b'41,332'",b'Europe'
b'Italy',"b'211,938'",b'',"b'29,079'",b'',"b'82,879'","b'99,980'","b'1,479'","b'3,505'",b'481',"b'2,191,403'","b'36,244'",b'Europe'
b'UK',"b'190,584'",b'',"b'28,734'",b'',b'N/A',"b'161,506'","b'1,559'","b'2,807'",b'423',"b'1,291,591'","b'19,026'",b'Europe'
b'France',"b'169,462'",b'',"b'25,201'",b'',"b'51,371'","b'92,890'","b'3,696'","b'2,596'",b'386',"b'1,100,228'","b'16,856'",b'Europe'
b'Germany',"b'166,152'",b'',"b'6,993'",b'',"b'135,100'","b'24,059'","b'1,949'","b'1,983'",b'83',"b'2,547,052'","b'30,400'",b'Europe'
