Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply,52 Week Range,1 Day Chart
BTC-USD,Bitcoin USD,9362.08,-147.36,-1.55%,172.097B,37.596B,37.596B,37.596B,18.382M,,
ETH-USD,Ethereum USD,207.35,-2.51,-1.20%,23.019B,12.72B,12.72B,12.72B,111.019M,,
USDT-USD,Tether USD,1.002,0.0018,+0.18%,8.816B,45.265B,45.265B,45.265B,8.798B,,
XRP-USD,XRP USD,0.1996,-0.0021,-1.03%,8.804B,1.738B,1.738B,1.738B,44.113B,,
BCH-USD,Bitcoin Cash USD,237.04,-2.29,-0.96%,4.365B,2.848B,2.848B,2.848B,18.413M,,
LTC-USD,Litecoin USD,43.84,-0.32,-0.71%,2.84B,3.267B,3.267B,3.267B,64.777M,,
BNB-USD,Binance Coin USD,16.56,-0.32,-1.89%,2.576B,295.475M,295.475M,295.475M,155.537M,,
EOS-USD,EOS USD,2.5591,-0.0328,-1.27%,2.387B,2.518B,2.518B,2.518B,932.812M,,
ADA-USD,Cardano USD,0.0561,-0.0007,-1.27%,1.454B,217.246M,217.246M,217.246M,25.927B,,
LINK-USD,Chainlink USD,4.0113,-0.0642,-1.58%,1.404B,478.235M,478.235M,478.235M,350M,,
XLM-USD,Stellar USD,0.0688,-0.002,-2.87%,1.39B,447.387M,447.387M,447.387M,20.213B,,
XMR-USD,Monero USD,63.74,-0.9,-1.38%,1.12B,78.139M,78.139M,78.139M,17.568M,,
TRX-USD,TRON USD,0.0148,-0.0002,-1.51%,984.017M,1.486B,1.486B,1.486B,66.682B,,
ETC-USD,Ethereum Classic USD,6.373984,-0.06351,-0.99%,741.379M,1.303B,1.303B,1.303B,116.313M,,
DASH-USD,Dash USD,76.03,-1.99,-2.55%,722.516M,566.839M,566.839M,566.839M,9.503M,,
NEO-USD,Neo USD,9.919241,-0.208179,-2.06%,699.692M,380.942M,380.942M,380.942M,70.539M,,
MIOTA-USD,IOTA USD,0.1943,-0.0049,-2.48%,540.095M,14.936M,14.936M,14.936M,2.78B,,
ZEC-USD,Zcash USD,47.05,-1.34,-2.76%,433.021M,338.91M,338.91M,338.91M,9.203M,,
XEM-USD,NEM USD,0.0395,-0.0,-0.02%,355.252M,10.094M,10.094M,10.094M,9B,,
DOGE-USD,Dogecoin USD,0.0025,0.0,+1.44%,316.88M,186.299M,186.299M,186.299M,124.654B,,
BAT-USD,Basic Attention Token USD,0.2049,0.0008,+0.41%,298.639M,78.682M,78.682M,78.682M,1.458B,,
VET-USD,VeChain USD,0.0045,-0.0001,-1.42%,246.842M,168.6M,168.6M,168.6M,55.455B,,
ZRX-USD,0x USD,0.3531,-0.007,-1.95%,230.55M,61.875M,61.875M,61.875M,652.985M,,
DGB-USD,DigiByte USD,0.016,0.0001,+0.87%,210.747M,18.231M,18.231M,18.231M,13.16B,,
OMG-USD,OmiseGO USD,1.3383,0.1727,+14.81%,187.695M,213.995M,213.995M,213.995M,140.245M,,
ICX-USD,ICON USD,0.3088,-0.0316,-9.28%,168.099M,75.996M,75.996M,75.996M,544.38M,,
DCR-USD,Decred USD,13.68,0.0,+0.01%,157.594M,110.117M,110.117M,110.117M,11.517M,,
BTG-USD,Bitcoin Gold USD,8.898428,-0.072946,-0.81%,155.846M,48.193M,48.193M,48.193M,17.514M,,
QTUM-USD,Qtum USD,1.5601,-0.0151,-0.96%,150.878M,369.566M,369.566M,369.566M,96.713M,,
LSK-USD,Lisk USD,1.1397,0.0012,+0.11%,141.001M,5.138M,5.138M,5.138M,123.716M,,
REP-USD,Augur USD,12.66,-0.28,-2.14%,139.257M,56.725M,56.725M,56.725M,11M,,
NANO-USD,Nano USD,0.9281,0.0348,+3.90%,123.672M,14.563M,14.563M,14.563M,133.248M,,
KNC-USD,Kyber Network USD,0.6479,0.005,+0.78%,116.633M,51.812M,51.812M,51.812M,180.028M,,
WAVES-USD,Waves USD,1.0573,0.0026,+0.24%,107.831M,62.275M,62.275M,62.275M,101.989M,,
MONA-USD,MonaCoin USD,1.5979,-0.0812,-4.84%,105.027M,12.516M,12.516M,12.516M,65.73M,,
SNT-USD,Status USD,0.0255,-0.0009,-3.35%,88.478M,22.08M,22.08M,22.08M,3.47B,,
SC-USD,Siacoin USD,0.0021,0.0,+1.95%,87.144M,1.597M,1.597M,1.597M,41.817B,,
MCO-USD,MCO USD,5.442339,-0.002262,-0.04%,85.955M,48.899M,48.899M,48.899M,15.794M,,
STEEM-USD,Steem USD,0.2154,-0.0347,-13.87%,78.859M,57.338M,57.338M,57.338M,366.068M,,
KMD-USD,Komodo USD,0.579,0.0295,+5.37%,69.411M,4.948M,4.948M,4.948M,119.88M,,
XVG-USD,Verge USD,0.0037,0.0002,+6.73%,60.714M,3.219M,3.219M,3.219M,16.273B,,
IOC-USD,I/O Coin USD,3.1348,3.0661,"+4,467.33%",56.959M,100050,100050,100050,18.17M,,
ZEN-USD,Horizen USD,5.718046,0.19983599999999999,+3.62%,52.108M,4.113M,4.113M,4.113M,9.113M,,
BTS-USD,BitShares USD,0.0188,-0.0002,-1.06%,51.591M,4.472M,4.472M,4.472M,2.749B,,
HC-USD,HyperCash USD,1.0939,0.0389,+3.69%,48.811M,19.708M,19.708M,19.708M,44.62M,,
GNT-USD,Golem USD,0.0489,0.0022,+4.74%,47.963M,14.606M,14.606M,14.606M,980.05M,,
XZC-USD,Zcoin USD,4.2466,-0.0747,-1.73%,43.152M,11.737M,11.737M,11.737M,10.161M,,
MAID-USD,MaidSafeCoin USD,0.0943,-0.0046,-4.66%,42.675M,214926,214926,214926,452.552M,,
LRC-USD,Loopring USD,0.0394,-0.0003,-0.78%,41.481M,7.399M,7.399M,7.399M,1.052B,,
BCN-USD,Bytecoin USD,0.0002,0.0,+6.37%,41.733M,173724,173724,173724,184.067B,,
ARDR-USD,Ardor USD,0.0393,-0.0001,-0.18%,39.276M,2.136M,2.136M,2.136M,998.999M,,
ANT-USD,Aragon USD,1.0814,-0.0182,-1.66%,34.714M,267984,267984,267984,32.101M,,
AE-USD,Aeternity USD,0.1079,-0.0007,-0.61%,33.537M,6.257M,6.257M,6.257M,310.675M,,
STRAT-USD,Stratis USD,0.3119,-0.0081,-2.52%,31.126M,1.505M,1.505M,1.505M,99.807M,,
RLC-USD,iExec RLC USD,0.3472,-0.0031,-0.89%,27.8M,436157,436157,436157,80.071M,,
BTCD-USD,BitcoinDark USD,20.53,0.0,+0.00%,26.461M,0,0,0,1.289M,,
ARK-USD,Ark USD,0.209,-0.0046,-2.15%,25.273M,2.806M,2.806M,2.806M,120.944M,,
GNO-USD,Gnosis USD,22.26,0.05,+0.24%,24.589M,121751,121751,121751,1.105M,,
STORJ-USD,Storj USD,0.1248,0.0049,+4.06%,19.92M,122.44M,122.44M,122.44M,159.589M,,
MTL-USD,Metal USD,0.3001,0.0005,+0.16%,19.652M,5.877M,5.877M,5.877M,65.484M,,
WTC-USD,Waltonchain USD,0.2778,0.0019,+0.68%,19.347M,9.892M,9.892M,9.892M,69.651M,,
ICN-USD,Iconomi USD,0.1803,0.0,0.00%,18.03M,0,0,0,100M,,
BNT-USD,Bancor USD,0.2659,-0.0067,-2.44%,18.39M,8.286M,8.286M,8.286M,69.149M,,
FUN-USD,FunFair USD,0.0028,0.0002,+7.78%,18.069M,1.014M,1.014M,1.014M,6.549B,,
FCT-USD,Factom USD,1.7518,0.0175,+1.01%,15.901M,362153,362153,362153,9.077M,,
PIVX-USD,PIVX USD,0.2795,-0.0071,-2.49%,15.872M,670141,670141,670141,56.781M,,
VERI-USD,Veritaseum USD,7.303514,-0.0841,-1.14%,15.7M,2382,2382,2382,2.15M,,
PPT-USD,Populous USD,0.2935,-0.0079,-2.62%,15.629M,3.658M,3.658M,3.658M,53.252M,,
CVC-USD,Civic USD,0.0229,0.0005,+2.11%,15.371M,8.928M,8.928M,8.928M,670M,,
SYS-USD,Syscoin USD,0.0259,0.0007,+2.94%,15.223M,314337,314337,314337,586.64M,,
VTC-USD,Vertcoin USD,0.2724,-0.0162,-5.61%,14.937M,903029,903029,903029,54.839M,,
GBYTE-USD,Obyte USD,18.91,-0.45,-2.32%,14.123M,2385,2385,2385,746728,,
GAS-USD,Gas USD,1.2819,0.0054,+0.42%,12.984M,15.793M,15.793M,15.793M,10.128M,,
QASH-USD,QASH USD,0.0337,0.0069,+25.59%,11.779M,149131,149131,149131,350M,,
NXT-USD,Nxt USD,0.0113,0.0007,+6.50%,11.31M,957569,957569,957569,999M,,
BLOCK-USD,Blocknet USD,1.6385,0.1531,+10.31%,11.146M,37923,37923,37923,6.802M,,
DGD-USD,DigixDAO USD,40.03,-0.37,-0.92%,10.773M,5.532M,5.532M,5.532M,269122,,
NXS-USD,Nexus USD,0.1615,-0.0011,-0.70%,10.445M,36163,36163,36163,64.672M,,
ETP-USD,Metaverse ETP USD,0.1114,-0.0023,-2.05%,8.71M,869738,869738,869738,78.216M,,
KIN-USD,Kin USD,0.0,-0.0,-1.74%,8.351M,40126,40126,40126,1.215T,,
PART-USD,Particl USD,0.8325,-0.1041,-11.11%,7.538M,89638,89638,89638,9.055M,,
NAV-USD,NavCoin USD,0.1076,-0.0043,-3.86%,7.391M,573062,573062,573062,68.71M,,
ADX-USD,AdEx USD,0.0821,0.0007,+0.80%,7.128M,587774,587774,587774,86.782M,,
NEBL-USD,Neblio USD,0.4402,0.0007,+0.16%,6.944M,111264,111264,111264,15.776M,,
VGX-USD,Voyager Token USD,0.0303,0.0001,+0.25%,6.726M,328383,328383,328383,222.295M,,
PAY-USD,TenX USD,0.046,-0.0017,-3.58%,6.608M,4.735M,4.735M,4.735M,143.712M,,
TAAS-USD,TaaS USD,0.7391,-0.232,-23.89%,6.021M,2821,2821,2821,8.146M,,
SALT-USD,SALT USD,0.0749,0.0011,+1.44%,6.016M,19662,19662,19662,80.284M,,
MLN-USD,Melon USD,4.7128,1.0666,+29.25%,5.891M,305508,305508,305508,1.25M,,
QRL-USD,Quantum Resistant Ledger USD,0.0797,0.0059,+7.94%,5.67M,122268,122268,122268,71.167M,,
SMART-USD,SmartCash USD,0.0037,-0.0001,-2.70%,5.174M,184084,184084,184084,1.414B,,
UBQ-USD,Ubiq USD,0.1069,-0.0111,-9.42%,4.557M,12472,12472,12472,42.609M,,
